name;age;height;games_played;goals;points;penalty_minutes;home_country
Marco Rossi;20;5.09;56;39;120;40;Austria
Cole Perfetti;20;5.10;61;37;111;16;Canada
Connor McMichael;21;6.00;52;47;102;26;Canada
Philip Tomasino (total);20;6.00;62;40;100;32;Canada
Arthur Kaliyev;20;6.02;57;44;98;28;United States
Pavel Gogolev;22;6.01;63;45;96;66;Russia
Joseph Garreffa;22;5.07;52;36;90;2;Canada
Jack Quinn;20;6.01;62;52;89;32;Canada
Austen Keating;23;6.00;58;32;89;10;Canada
Nick Robertson;20;5.09;46;55;86;40;United States
Akil Thomas (total);22;6.00;49;24;84;56;United States
Brett Neumann;23;5.09;62;45;83;20;Canada
Cam Hillis;21;5.11;62;24;83;43;Canada
Quinton Byfield;19;6.04;45;32;82;44;
Noel Hoefenmayer;23;6.01;58;26;82;37;Canada
Tyson Foerster;20;6.02;62;36;80;53;Canada
Cole Coskey;23;6.01;62;34;80;41;United States
Evgeniy Oksentyuk;21;5.07;58;33;78;51;
Sean Josling;23;6.00;60;32;78;58;Canada
Riley Damiani;22;5.10;61;28;78;32;Canada
Maxim Golod;21;5.11;63;25;78;34;Canada
Mitchell Hoelscher;22;6.00;62;34;76;51;Canada
Ryan Merkley;21;5.11;60;15;76;48;Canada
Damien Giroux;22;5.10;61;44;75;22;Canada
Semyon Der-Arguchintsev;21;5.10;55;12;75;23;Russia
Chad Yetman;22;5.11;61;43;74;8;Canada
David Levin;22;5.10;57;27;73;39;Canada
Blake Murray;20;6.02;63;35;72;58;Canada
Cole Schwindt;21;6.03;57;28;71;31;Canada
Liam Hawel;23;6.04;54;23;71;51;Canada
Jacob Perreault;20;5.11;57;39;70;40;United States
Ty Dellandrea;21;6.01;47;32;70;33;Canada
Sergey Popov;22;5.11;61;19;70;30;Russia
Declan Chisholm;22;6.01;59;13;69;33;Canada
Liam Foudy;22;6.01;45;28;68;24;Canada
Ryan McGregor;23;6.01;52;27;68;10;Canada
Egor Afanasyev;21;6.03;62;31;67;40;Russia
Tyler Angle;21;5.10;62;29;67;38;Canada
Allan McShane;22;6.00;62;23;67;12;Canada
Shane Wright;18;6.01;58;39;66;10;Canada
Jonathan Gruden;22;6.00;59;30;66;23;United States
Ty Tullio;20;5.11;62;27;66;49;Canada
Zack Trott;22;5.10;62;25;66;36;Canada
Zach Gallant;23;6.02;59;33;65;89;Canada
Greg Meireles;23;5.11;48;31;65;34;Canada
Brad Chenier (total);23;6.00;59;27;65;71;Canada
Brady Lyle;22;6.03;62;22;65;28;Canada
James Hardie;20;5.11;59;34;63;16;Canada
Matej Pekar (total);22;6.01;51;28;63;60;Czech Rep.
Ivan Lodnia;22;6.00;41;27;62;22;United States
Riley McCourt;21;5.11;63;18;62;44;Canada
Luke Evangelista;20;6.00;62;23;61;12;Canada
Jamieson Rees;21;5.10;39;18;61;47;Canada
Luke Moncada;22;6.01;62;34;60;45;Canada
Curtis Douglas;22;6.09;62;30;60;59;Canada
Alec Regula;21;6.04;56;27;60;55;United States
Jonathan Yantsis;23;6.03;63;39;59;85;Canada
Barret Kirwin;22;5.09;62;30;59;37;Canada
Rory Kerins;20;5.11;64;30;59;30;Canada
Zayde Wisdom;19;5.10;62;29;59;55;Canada
Matthew Struthers (total);22;6.02;62;22;59;45;Canada
Eric Uba;21;6.00;63;29;58;61;Canada
Oliver Castleman;22;6.00;62;22;58;36;Canada
Ryan Suzuki (total);21;6.01;44;18;58;24;Canada
Cody Morgan;21;6.00;63;15;58;4;Canada
Brandon Coe;20;6.05;60;25;57;39;Canada
DJ Busdeker;22;5.10;62;22;57;28;United States
Thomas Harley;20;6.04;59;18;57;33;United States
Jan Jenik;21;6.01;27;22;56;30;Czech Rep.
Ryan Roth (total);21;5.07;63;22;56;16;United States
Tyler Tucker (total);22;6.02;55;17;56;87;Canada
Jack Wismer;22;6.00;62;27;54;12;Canada
Jake Durham;23;5.10;63;22;54;42;Canada
Connor Corcoran;21;6.03;62;19;54;50;Canada
Tye Kartye;21;6.01;64;25;53;28;Canada
Jason Willms (total);23;6.00;60;22;53;53;Canada
Aidan Dudas;21;5.08;48;15;53;28;Canada
Billy Constantinou (total);21;6.00;60;9;53;49;Canada
Kaleb Pearson;21;5.11;62;28;52;36;Canada
Shane Bulitka (total);22;5.11;62;23;52;35;Canada
Keean Washkurak;20;5.10;49;22;52;62;Canada
Axel Bergkvist;22;5.09;62;9;52;23;SWE
Cole MacKay;20;5.11;64;25;51;42;Canada
Daniel D'Amico;21;5.10;61;23;50;46;Canada
Jaromir Pytlik;20;6.02;56;22;50;36;Czech Rep.
Macauley Carson;23;6.01;63;22;50;71;Canada
Liam Kirk;22;6.00.;47;21;50;25;England
Robert Calisti;21;5.09;64;18;50;64;Canada
Tag Bertuzzi;21;6.01;57;25;47;23;Canada
Ethan Cardwell (total);19;5.11;63;23;47;41;Canada
Aidan Brown;22;6.01;57;20;47;77;Canada
Serron Noel (total);21;6.06;48;18;47;36;Canada
Jamie Drysdale;20;5.11;49;9;47;24;Canada
Kyen Sopa (total);21;5.09;52;19;46;50;Switzerland
Owen Robinson;22;6.00;63;15;46;16;Canada
Kyle MacLean;23;6.01;51;13;46;64;United States
Logan Morrison;19;6.00;59;23;45;18;Canada
Austen Swankler;20;6.00;59;18;45;61;United States
Cole Purboo;22;6.03;59;20;44;16;Canada
Richard Whittaker;22;6.00;57;19;44;78;Canada
